INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,MULTIPLE_OFFENSE,MULTIPLE_BIAS,VICTIM_TYPES_1,VICTIM_TYPES_2,VICTIM_TYPES_3,Business,Financial Institution,Government,Individual,Law Enforcement Officer,Other,Religious Organization,Society/Public,Unknown,BIAS_DESC_1,BIAS_DESC_2,BIAS_DESC_3,BIAS_DESC_4,BIAS_DESC_5,Anti-American Indian or Alaska Native,Anti-Arab,Anti-Asian,Anti-Atheism/Agnosticism,Anti-Bisexual,Anti-Black or African American,Anti-Buddhist,Anti-Catholic,"Anti-Eastern Orthodox (Russian, Greek, Other)",Anti-Female,Anti-Gay (Male),Anti-Gender Non-Conforming,Anti-Heterosexual,Anti-Hindu,Anti-Hispanic or Latino,Anti-Islamic (Muslim),Anti-Jehovah's Witness,Anti-Jewish,Anti-Lesbian (Female),"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Anti-Male,Anti-Mental Disability,Anti-Mormon,"Anti-Multiple Races, Group","Anti-Multiple Religions, Group",Anti-Native Hawaiian or Other Pacific Islander,Anti-Other Christian,Anti-Other Race/Ethnicity/Ancestry,Anti-Other Religion,Anti-Physical Disability,Anti-Protestant,Anti-Sikh,Anti-Transgender,Anti-White
1340493,2020,TX0940600,Cibolo,,City,TX,Texas,West South Central,South,4,"Cities from 25,000 thru 49,999",19-May-20,1,0,1,1,0,White,Hispanic or Latino,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-White,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1178526,2020,TX0950400,Plainview,,City,TX,Texas,West South Central,South,5,"Cities from 10,000 thru 24,999",2-Oct-20,3,0,3,3,0,White,Hispanic or Latino,3,Simple Assault,3,Park/Playground,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-White,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1260591,2020,TX0950400,Plainview,,City,TX,Texas,West South Central,South,5,"Cities from 10,000 thru 24,999",15-Jun-20,1,1,3,1,2,White,Hispanic or Latino,2,Robbery,2,Highway/Road/Alley/Street/Sidewalk,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Gay (Male),,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226209,2020,TX0970100,Hamilton,,City,TX,Texas,West South Central,South,6,"Cities from 2,500 thru 9,999",25-Mar-20,1,0,1,1,0,Black or African American,Not Hispanic or Latino,1,Simple Assault,1,Other/Unknown,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260671,2020,TX1000200,Silsbee,,City,TX,Texas,West South Central,South,6,"Cities from 2,500 thru 9,999",17-Dec-20,0,0,1,1,0,Black or African American,Not Hispanic or Latino,1,Drug Equipment Violations,0,Other/Unknown,S,S,Society/Public,,,0,0,0,0,0,0,0,1,0,Anti-American Indian or Alaska Native,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341731,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",2-Oct-20,0,0,1,1,0,Black or African American,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0,Specialty Store,S,S,Business,,,1,0,0,0,0,0,0,0,0,Anti-Physical Disability,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1341735,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",16-Dec-20,1,0,0,,,Unknown,Unknown,1,Robbery,1,Parking/Drop Lot/Garage,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Hispanic or Latino,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341737,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",27-Jul-20,2,0,0,,,Unknown,Unknown,2,Intimidation,2,Residence/Home,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341750,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",3-Oct-20,3,0,1,1,0,Black or African American,Not Hispanic or Latino,3,Intimidation,3,Parking/Drop Lot/Garage,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Hispanic or Latino,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341752,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",22-Dec-20,2,0,1,1,0,White,Not Hispanic or Latino,2,Intimidation,2,Residence/Home,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
